ID,Price,Description
99a,2.45,KUSHI Apricot Nectar  1ltr
99,4.95,ELEPHANT HOUSE Cream Soda 1.5Lit
100,4.95,ELEPHANT HOUSE Ginger Bear 1.5Lit
101,2.45,KUSHI Lychee Nectar  1ltr
102,2.95,FROOTI Mango Juice 1Lit
103,3.95,FROOTI Mango Juice 2Lit
104,2.45,KUSHI Mango Nectar 1ltr
105,4.95,ELEPHANT HOUSE Necto 1.5Lit
106,4.95,ELEPHANT HOUSE Orange Barly 1.5Lit
107,2.45,KUSHI Pink Guava Nectar  1ltr
108,2.45,KUSHI Pomergranate Nectar  1ltr
108a,4.95,ELEPHANT HOUSE Portelo 1.5Lit
109,4.95,ROOHAFZA Rose Syrub 750ml
110,5.95,MD Sherbert Syrup 750ml
